company_name,founded_year,location,industry,latest_funding,website,linkedin,description
EvolutionIQ,2019.0,,information technology & services,Series B,http://www.evolutioniq.com,,"EvolutionIQ created the world's first fully AI-driven claims guidance platform for the most sophisticated insurance carriers in the world. Our platform makes insurance more fair, transparent and affordable."
Bikky,2017.0,,information technology & services,Seed,http://www.bikky.com,,"Bikky is the first Customer Data Platform (CDP) built exclusively for large, multi-unit restaurant brands. By integrating with point-of-sale systems, online ordering providers, payment processors, and loyalty programs, Bikky is the only CDP able to build comprehensive datasets about everything from the performance of menus to the frequency and lifetime value of guests. With the platform, everyone from the C-Suite to the marketing team is empowered to make better decisions about the business and measure if those decisions are contributing positively to the bottom line. Bikky was founded on the belief that restaurants deserve the same access to data as the largest, most sophisticated businesses in the world, and is proud to serve thousands of restaurant locations across the U.S., including major brands like Bojangles, MOD Pizza, Dave's Hot Chicken, and Long John Silver's. Bikky is based in New York City and has raised over $15 million in funding to date."
Envisagenics,2014.0,,research,Series B,http://www.envisagenics.com,,"Envisagenics was founded in 2014 as a spinout of Cold Spring Harbor Laboratory. Our mission is to reduce the complexity of biomedical data to accelerate the development of innovative therapeutic solutions through RNA splicing analytics and artificial intelligence. We focus on the discovery of RNA therapeutics. Over 30 million people in the US suffer from genetic diseases or cancer that could be caused by mutations affecting RNA splicing. 370 human diseases are known to be caused by splicing errors, and more remain to be discovered. Our breakthrough technology, SpliceCore, is a cloud-based platform that is experimentally validated to predict drug targets and biomarkers through splicing discovery from RNA-seq data, using Artificial Intelligence. We are using our software to identify splicing errors causative of diseases, identify the right drug-targets and develop RNA therapeutics through partnerships and collaborations with Biopharma. Our in-silico RNA therapeutics discovery platform replaces expensive drug-target selection and lead design with efficient computer simulations, decreasing time, cost, and failure risk of drug development programs."
Bespoke Post,2011.0,,retail,Series B,http://www.bespokepost.com,,"Bespoke Post is an e-commerce retailer and membership service that helps people discover high-quality gear from the best small brands in the world. From clothing to camping gear, boots to barware– our mission is to help customers cut through the clutter, and find goods and guidance that spark their curiosity and fuel a fun, interesting, adventurous lifestyle. Since we opened shop back in 2011, we've proudly spent more than $150 million with small brands and welcomed over 1.5 million Members. Our team is based in New York City, and we're always looking for great new people to join our crew. So don't be shy about reaching out."
Adaptive,2022.0,,information technology & services,Series A,http://www.adaptive.build,,"Automating finance for builders and remodelers. Bills, receipts, free payments, budgets, invoices, draws - everything synced with QB."
Chapter,2020.0,,insurance,Series C,http://www.askchapter.org,,"Chapter is the industry leading Medicare navigation platform that helps simplify and optimize Medicare for patients, customers, and clients of the most impactful organizations in the country. Hundreds of organizations rely on Chapter to build, maintain and demonstrate trust through Medicare guidance in a way that improves brand value for Chapter's partners. Chapter's unbiased, consumer-centric approach has been recognized by the National Council on Aging and led the US Senate to invite Chapter's CEO to testify about how to improve the Medicare enrollment experience for America's seniors. Chapter has recently been recognized as a Forbes 2023 next Billion Dollar Startup and a Fortune Impact 20 company. Our world class investors include Addition Capital, Narya Ventures, Peter Thiel, Maverick Ventures, Susa Ventures, XYZ Ventures, Health 2047 of the American Medical Association, and many others. We are home to a diverse team of extreme talent who are motivated to improve the lives of America's seniors. We are actively hiring across teams. Join us at https://askchapter.org/careers."
Transfr,2017.0,,information technology & services,Series C,http://www.transfrinc.com,,"Transfr is a New York-based VR platform that offers simulation-based workforce development and training programs for sectors including automotive, aerospace and construction."
Altana,2018.0,,information technology & services,Series C,http://www.altana.ai,,"Altana, based in New York, is the world's first Value Chain Management System, a collaborative, public-private network that enables customers to take command of their extended supplier and distribution networks — from raw material origins to the sale of finished products. By applying artificial intelligence to the world's largest body of supply chain data, Altana reveals these previously opaque global networks and powers workflows across them. Customers like Boston Scientific, General Atomics, L.L.Bean, Maersk, US Customs and Border Protection, and the UK Department of Business and Trade use Altana to build secure, resilient, efficient, and sustainable global value chains. To learn more, visit: https://altana.ai/."
Block Renovation,2017.0,,information technology & services,Series C,http://www.blockrenovation.com,,"Block is a platform transforming the $450 billion renovation industry. Doing a home renovation is a very stressful and hard process. Our mission is to give homeowners a better way to improve the spaces they live in, and to give contractors a better way to work. Block simplifies the renovation process and gives homeowners certainty on outcomes, quality, price, and time. We are building an ambitious, tenacious, and creative team who is unafraid of tackling new challenges. The founders are former leaders at Casper, HuffPost, and Rent the Runway. Investors include New Enterprise Associates, Lerer Hippeau Ventures, Obvious Ventures, Giant Ventures, and more."
Cadence,2020.0,,hospital & health care,Series B,http://www.cadence.care,,"Cadence is a health technology company helping the nation's most patient-centric health systems deliver more consistent, proactive healthcare every day. Cadence's Remote Patient Care solution couples powerful new technology with clinical excellence, providing its patients a precise and personal level of care all outside of the four walls of the hospital. At Cadence, we aim to exceed the expectations of our patients, clinicians, and partners every day. Our team values trust and autonomy, and we empower one another to make decisions, solve problems and build something better. We give clear, candid feedback with the utmost honesty and encouragement. If you're interested in joining us, explore opportunities at www.cadence.care. *Note that in all Cadence videos posted on this page, testimonials are those of real Cadence patients who have not been compensated and voluntarily provided their statements and opinions. Patient results and experiences with Cadence may vary and are unique and individual to each patient."
Playbook,2017.0,,"health, wellness & fitness",Series A,http://www.joinplaybook.com,,"Playbook is the #1 creator economy platform for creators in fitness, wellness, and sports. Our combination of mobile SaaS tools and services enables today's creator class to turn their iPhone training content into a meaningful income. Start creating yourself today: www.joinplaybook.com"
Helaina,2019.0,,research,Series B,http://www.myhelaina.com,,Helaina is a biotech company pushing the boundaries of what food can do for health.
Branch,2018.0,,furniture,Series A,http://www.branchfurniture.com,,"Branch makes it easy for teams of every size to create the office you love. From ordering and assembly to space planning and pickup, we take care of furniture so you can sit down (or stand) and get to work."
Mighty,2015.0,,information technology & services,Series B,http://www.mighty.com,,Mighty is a provider of injury lien management and tracking solutions for billing companies.
CertiK,2018.0,,computer & network security,Series B,http://www.certik.com,,"CertiK is a pioneer in blockchain security, leveraging best-in-class AI technology to protect and monitor blockchain protocols and smart contracts. Founded in 2018 by professors from Yale University and Columbia University, CertiK's mission is to secure the web3 world. CertiK applies cutting-edge innovations from academia to enterprise, enabling mission-critical applications to scale with safety and correctness. One of the fastest-growing and most trusted companies in blockchain security, CertiK is a true market leader. To date, CertiK has worked with nearly 4,000 Enterprise clients, secured over $360 billion worth of digital assets, and has detected nearly 70,000 vulnerabilities in blockchain code. Our clients include leading projects such as Aave, Polygon, Binance Smart Chain, Terra, Yearn, and Chiliz. ​​CertiK is backed by Insight, Partners, Sequoia, Tiger Global, Coatue Management, Lightspeed, Advent International, SoftBank, Hillhouse Capital, Goldman Sachs, Coinbase Ventures, Binance, Shunwei Capital, IDG Capital, Wing, Legend Star, Danhua Capital and other investors."
"Velan Studios, Inc.",2016.0,,computer games,Series A,http://www.velanstudios.com,,"Velan Studios is a new development studio made up of a diverse team of game industry veterans. We have created hundreds of games, selling millions of copies over the past 25 years. Our team is embarking on a new journey to create breakthrough experimental games that will stoke the imagination and entertain, and new kinds of experiences that push the frontier of gaming forward."
Softheon,2000.0,,information technology & services,Series A,http://www.softheon.com,,"Softheon powers growth to make healthcare more productive, intelligent, and successful. Our solutions enable health plans and government health agencies to measurably reduce their costs and serve more people, faster. Every day, Softheon's products help people to buy the insurance coverage that's right for them, keep them engaged, and empower them to stay healthy throughout their membership. Our vision making healthcare affordable, accessible, and plentiful for every American. Founded in 2000, Softheon's Software-as-a-Service (SaaS) and Business Process-as-a-Service (BPaaS) solutions solve complex operational and service challenges for health plans and government health agencies. By offering modular solutions designed to integrate with existing systems, Softheon reduces administrative burdens by streamlining critical processes in healthcare. Softheon's rapidly adapting technology and agile approach to implementation enables clients to proactively respond to changing regulatory environments and consumer demand. Softheon has been recognized as a leading SaaS and BPaaS provider by IDC, AHIP, ACAP, and HCEG. Trusted by CMS and 8 State agencies, Softheon's clients span multiple industries. In 2021, Softheon ranked on the Inc. 5000 regional list for fastest growing companies, and Best in Biz Awards named Softheon one of the top Companies of the Year in the Northeast Region. Softheon Values: • Be Open, Honest, and Constructive • Channel Passion into Purpose • Cultivate Excellence • Relationships Matter • We > I"
RealSelf,2006.0,,information technology & services,Series B,http://www.realself.com,,"For two decades, RealSelf has been the trusted authority in the aesthetics space. Now, we're evolving into something even more powerful - a dynamic digital ecosystem that puts you at the center of your aesthetic journey. What sets us apart? We're the only destination that combines verified patient experiences, board-certified expert guidance, and cutting-edge technology to help you make confident, informed decisions about your aesthetic goals. From revolutionary skincare to transformative procedures, RealSelf remains your most trusted partner in discovering treatments and providers that are truly 'Worth It.' Visit RealSelf.com to experience our evolution and follow us on social, for daily inspiration and expert advice."
CB Insights,2009.0,,information technology & services,Series A,http://www.cbinsights.com,,"CB Insights is an AI super analyst for market intelligence. It delivers instant insights that help you bet on the right markets, track competitors, and source the right companies. Our AI super analyst is powerful because it is built on the validated database of companies and markets that CB Insights is famous for. The AI super analyst is available as an API, too. Trusted by the world's smartest companies, CB Insights is headquartered in New York, NY. Visit www.cbinsights.com to see us in action. We also publish one of the most loved newsletters in tech. Join half a million readers: www.cbinsights.com/newsletter"
Valon,2019.0,,information technology & services,Series C,http://www.valon.com,,"Valon is on a mission to empower every homeowner. We believe the journey of home ownership starts when you get your keys, but lasts far beyond. We're creating a world where home ownership comes with ease, security, and financial know-how. Valon Mortgage, Inc. NMLS #1907140 https://nmlsconsumeraccess.org/"
IEX,2012.0,,financial services,Series C,http://www.iex.io,,"At IEX, we're passionate about building technology that moves finance forward. Our story began when we built IEX Exchange, a stock exchange designed to deliver high-performance results for all investors. Our goal is to build transformative technology without ever compromising our integrity - and we're just getting started. To learn more, visit iex.io."
Aetion,2012.0,,information technology & services,Series C,http://www.aetion.com,,"Aetion is a health care analytics company that delivers real-world evidence for the manufacturers, purchasers, and regulators of medical treatments and technologies. The Aetion Evidence Platform® analyzes data from the real world to produce transparent, rapid, and scientifically validated answers on safety, effectiveness, and value. Founded by Harvard Medical School faculty members with decades of experience in epidemiology and health outcomes research, Aetion informs health care's most critical decisions — what works best, for whom, and when — to guide product development, commercialization, and payment innovation. Aetion is based in New York City and backed by investors including New Enterprise Associates (NEA), Warburg Pincus, Flare Capital Partners, Greenspring Associates, Lakestar, B Capital, Foresite Capital, Town Hall Ventures, McKesson Ventures, Sanofi Ventures, EDBI, Johnson & Johnson Innovation—JJDC, Inc., UCB, Amgen Ventures, and Horizon Health Services, Inc. Learn more at aetion.com and follow us at @aetioninc."
Basis,2023.0,,information technology & services,Series A,http://www.getbasis.ai,,AI Platform for Accounting firms giving accountants a team of AI assistants
PermitFlow,2021.0,,information technology & services,Series A,http://www.permitflow.com,,PermitFlow is the nation's leading permit application and management platform. We help builders across the country to simplify and speed up the process of obtaining construction permits.
Sunstone Credit,2015.0,,financial services,Series A,http://www.sunstonecredit.com,,"Sunstone Credit is on a mission to democratize access to solar for small and medium sized businesses (SMBs). Sitting at the intersection of climate, finance and technology, Sunstone has built a best-in-class technology platform and partnered with leading financial institutions and a national network of solar developers to provide SMB borrowers access to simple, affordable and easy-to-understand solar loan products with flexible terms and a streamlined application process. When SMB customers go solar using Sunstone's products, they save money and reduce their carbon footprint, driving a clean, green future for all. For more information about becoming a partner, please contact info@sunstonecredit.com."
Modern Age,2020.0,,"health, wellness & fitness",Series A,http://www.modern-age.com,,"Modern Age is New York City's first longevity-focused wellness clinic, offering proactive solutions to slow down the aging process inside and out. Our holistic approach spans skin and hair treatments, hormone health, cognitive health, sexual health, weight loss, and IV therapies. Our goal is to help clients age on their own terms by integrating cutting-edge science with personalized care. Services like Hydrafacial, Botox, NAD+, and neurofeedback therapy are just a few of the ways we empower individuals to feel and look their best."
SERHANT.,2008.0,,real estate,Seed,http://www.serhant.com,,"SERHANT. is the first real estate company launched and designed for the marketplace of tomorrow. We grew from the #1 ranked sales team in New York City into a full-service firm that is revolutionizing the traditional real estate model. At SERHANT., we do things differently. Our in-house production and branding teams — SERHANT. Studios and ID Lab — develop disruptive content that engages the market by exploring new creative frontiers and redefining pathways to connect. Our tech-powered innovation platform, SERHANT. ADX, gives our listings unparalleled exposure by reaching more buyers than anyone else. Our agents are driven to succeed, understanding of client needs, and trained to balance established sales strategies and techniques with innovative thinking. We understand that it's more important than ever to help our clients and partners adapt to behavioral and market changes being driven by generational shifts and technological advances in society, and by combining traditional brokerage services with innovative production and marketing capabilities, we know how to do that better than anyone else."
Realm,2019.0,,real estate,Series A,http://www.realmhome.com,,"Realm is building a single destination for homeowners. We help homeowners decide what to do with their home, and then help them do those things seamlessly with a marketplace of vendors. Founded in New York City in December of 2019, Realm is backed by top investors including: GGV Capital, Atreides Management, Primary Venture Partners, Lerer Hippeau and Liberty Mutual. We've powered over >100m of renovations and helped thousands of homeowners make smarter home decisions."
Circle,2019.0,,information technology & services,Series A,http://www.circle.so,,"Circle is the world's leading branded community platform. We serve more than 10 million members in communities run by some of the world's top creators and institutions — including Ali Abdaal, Dr. Becky, Jay Shetty, Harvard, SpaceX, and Oprah Winfrey. We're a fully remote company of 160+ team members based in 30+ countries in the world."
TULU,2019.0,,consumer services,Series A,http://www.tulu.io,,"TULU is an in-building smart platform that provides tenants with on-demand access to appliances, grocery staples, micro-mobility devices, and much more."
Andium,2014.0,,information technology & services,Series B,http://www.andium.com,,"Andium is an end-to-end industrial IoT platform that brings intelligent software services down to the device layer, offering industries more flexibility, reliability, and scalability in monitoring and controlling their operations, regardless of cloud connectivity."
Ecolectro,2015.0,,chemicals,Series A,http://www.ecolectro.com,,"Ecolectro is revolutionizing green hydrogen production with our groundbreaking Anion Exchange Membrane (AEM) technology, enabling affordable and sustainable hydrogen generation without the need for expensive materials like iridium or harmful PFAS chemicals. Our patented polymers power durable, high-performance electrolyzers that deliver pure hydrogen with exceptional efficiency and high production rates. By relentlessly pushing the boundaries of electrolysis technology through dedicated research and a commitment to challenge assumptions, we're making the widespread adoption of electrolysis financially viable and unlocking the full potential of the hydrogen economy."
Urban Electric Power,2014.0,,semiconductors,Seed,http://www.urbanelectricpower.com,,"Urban Electric Power (UEP) is a Pearl River, NY-based clean energy spin-out company of the CUNY Energy Institute, commercializing the advanced zinc anode rechargeable battery technology first developed under the direction of distinguished professor of chemical engineering, Sanjoy Banerjee, Ph.D. The UEP technology uses safe, non-toxic, 100% recyclable materials without lead, heavy metals, or flammable electrolytes, and offers substantial cost benefits compared to existing battery chemistries because of the extended cycle life, high capacity at high charge/discharge rates, and low cost of starting materials. Manufacturing UEP's line of batteries is substantially less expensive and more energy efficient than conventional lead acid battery production."
Spark,2020.0,,insurance,Series B,http://www.sparkadvisors.com,,"Spark helps independent Medicare brokers build the insurance of their dreams. We are the only platform purpose-built for Medicare, providing agencies with industry-leading technology and deeply-committed agent services and customer support. The result? Transformative growth. Agencies more than double their enrollment volume year-over-year after partnering with Spark. We're proud to be the country's fastest-growing Medicare brokerage, but even prouder to work with the industry's best. Get in touch! contact@sparkadvisors.com"
Bubble,2012.0,,information technology & services,Series A,http://www.bubble.io,,"Build web, mobile, and AI-powered apps — all without code. Bubble is the leading #nocode platform that lets you build without traditional engineers."
Radar,2016.0,,information technology & services,Series C,http://www.radar.com,,"Radar is the all-in-one geolocation platform: Geofencing, maps, and geolocation compliance, all in a modern, cost-effective platform. Thousands of companies trust our APIs and SDKs to power location-based experiences across hundreds of millions of devices globally."
Upfluence,2013.0,,information technology & services,Series A,http://www.upfluence.com,,"Influencer marketing platform for eCommerce & social commerce, helping brands & agencies generate online sales through creators, affiliates & ambassadors. We're hiring! Check out our open positions here: https://upfluence.com/careers Upfluence is the only influencer marketing software with a dedicated offering for eCommerce brands. We help brands drive online sales through organic influencer partnerships. Upfluence leverages social data, brand affinity and authenticity to turn your customers into your best performing influencers. Our data-driven approach to influencer marketing delivers a high ROI for each of our 1300+ clients."
Partiful,2020.0,,information technology & services,Series A,http://www.partiful.com,,"Partiful's mission is to cultivate friendships through social events. We're building new ways to streamline planning, connect meaningfully in the real world, and make connections between friends-of-friends, starting with memorable party pages that make it easy to plan & communicate with guests."
Unite Us,2013.0,,information technology & services,Series C,http://www.uniteus.com,,"Over a decade ago, Unite Us pioneered the first closed-loop referral platform tailored specifically for veterans and their families. Today, leveraging our comprehensive suite of software and services, we unite more than 1,000 customers across the country. Our mission is to facilitate accountable connections to care for anyone in need, empowering government, healthcare, and local community-based organizations to thrive and focus on what they do best. Through cutting-edge technology, we seamlessly bring communities together, predicting, delivering, and facilitating payment for community-based social care. Our platform encompasses more than one million services, boasting the industry's largest outcome-focused community network. Our award-winning experience distinguishes us, positioning Unite Us as the unparalleled partner for social care."
BaubleBar Inc.,2011.0,,retail,Series C,http://www.baublebar.com,,"Founded in 2011 by Amy Jain and Daniella Yacobovsky Fiala, BaubleBar has quickly become an industry leader in the accessories space. Taking their motto of ""Embellish Every Day"" quite literally, the brand has consistently aimed and succeeded at ensuring every customer can express themselves with ease. While the company got its start creating fashion jewelry, they knew that their cheerful and unique vision could go so much further. Since then, BaubleBar's assortment has expanded to include fine jewelry, hair and tech accessories, as well as home décor. In addition, BaubleBar has launched major partnerships with some of the most recognizable brands in the world, including Disney, the NBA, and the NFL. The brand is available on BaubleBar.com and in over 300 premier retailers globally, including Nordstrom, Bloomingdale's, Neiman Marcus, ULTA, Harvey Nichols, and Revolve. BaubleBar's exclusive line at Target, SUGARFIX, is found at every Target location across the US."
Hungryroot,2015.0,,food & beverages,Series C,http://www.hungryroot.com,,"Hungryroot is using AI to build the most consumer-centric food and wellness company to ever exist. Like a personal assistant for healthy living, we get to know your goals, lifestyle, and budget, and we recommend and deliver healthy groceries, easy recipes and essential supplements for you and your family. It's the easiest way to eat healthy, achieve your goals, save time, and discover new foods. Founded on the belief that food is the foundation of health, convenience should not mean compromise, and we're all unique in how we eat and live, Hungryroot is building a future in which healthy living is easy and enjoyable. Learn more at: www.hungryroot.com"
Xscape Photonics Inc,2022.0,,computer hardware,Series A,http://www.xscapephotonics.com,,"Xscape is using photonics to realize scalable, high-bandwidth, energy-sustainable, and cost-effective solutions that enable the next generation of AI, ML, and simulation hardware."
Moxie,,,"health, wellness & fitness",Series B,http://www.joinmoxie.com,,"Medspas are booming, and are often a path for individual nurses to become business owners. We believe that's a good thing for them, their communities, local economies, and clients. We unlock the entrepreneurial opportunity in aesthetics for those with the moxie to take the leap. Moxie gives aesthetic entrepreneurs everything they need to successfully compete (and win) against even the biggest medspa chains—including a strategic partner, a purpose-built medspa management platform, and unmatched pricing power on injectables, supplies, and more. Today, Moxie has helped more than 250 aesthetic entrepreneurs—90%+ of which are female first-time business owners—successfully launch, run, and grow their own independent medspas. We are a healthy, grown-up but early-stage company, and operate remote-first. Learn more: www.joinmoxie.com"
april,2021.0,,financial services,Series A,http://www.getapril.com,,"Powered by AI, april offers smarter tax solutions that are built to be white labeled and embedded into existing financial apps. Customers can receive year-round tax insights and opportunities to optimize, preventing unexpected surprises and speeding up the filing process come tax season. By embedding april, our clients have seen increased product engagement, MAU, and significant deposit growth, with an average of 94.8% tax refund deposit capture."
Viam,2020.0,,information technology & services,Series B,http://www.viam.com,,"Viam is a New York-based open-source platform that builds and manages data processes of smart machines such as industrial robots, home appliance and IoT devices."
Articulate,2002.0,,information technology & services,Series A,http://www.articulate.com,,"Articulate develops e-learning software, content, and resources that change the way the world learns. More than 120,000 organizations worldwide, including all 100 of the Fortune 100, have created millions of courses using our online training platform, Articulate 360. With Articulate 360, e-learning developers get everything they need to create courses for their learning management systems, including the award-winning authoring app Storyline 360. Learn more about Articulate 360 at https://articulate.com/360 Articulate also has the industry's largest community, E-Learning Heroes, where online training professionals get inspiration, guidance, product support, and best practices on building online training. Join the 1.2+ million members of E-Learning Heroes at https://community.articulate.com As a human-centered organization, Articulate is driven by our vision to empower people to live better lives. We're committed to providing the best value to customers and doing right by our employees. We're building a team that looks like the world we live in and an environment where people from diverse backgrounds feel like we belong. Learn more about why we're one of Inc. Magazine's Best Workplaces of 2024: https://articulate.com/about/careers"
Posh,2019.0,,internet,Series A,http://www.posh.vip,,Find your world.
Thesis,2017.0,,"health, wellness & fitness",Series A,http://www.takethesis.com,,"Our nootropics are a powerful alternative to stimulants, providing similar benefits, minus the jitters, crash, and side effects. Powered by the world's largest data set on the efficacy of nootropics and advised by neuroscientists from Yale, Penn, and MIT, Thesis quickly and safely helps to support increased focus, creativity, energy, and memory in capsule form."
Afficiency,2017.0,,insurance,Series A,http://www.afficiency.com,,Afficiency is a New York-based insurtech company that provides solutions such as product development and risk management for businesses.
Caraway Home,2018.0,,mechanical or industrial engineering,Series A,http://www.carawayhome.com,,"We're on a mission to craft well-designed, non-toxic ceramic cookware that thoughtfully raises the standards of what you cook with. Simply put, our products are designed to make your life easier and healthier, no matter your level of expertise."
OXIO,2018.0,,telecommunications,Series B,http://www.oxio.com,,"OXIO is the first telecom-as-a-service (TAAS) platform for brands and enterprises that unbundles mobile telecom infrastructure, capturing the powerful data and true value that it emits. OXIO's 100 percent cloud-based solution blends the wireless infrastructure of many providers, enabling something that wasn't possible before — a custom-purposed, asset-light network delivered to each brand in a matter of days. OXIO's B2B SaaS solution unlocks the full and uncompromising control of the wireless experience for brands, including actionable intelligence that drives clear value and results. Mobile data, long locked up in telecom silos, allows brands to get closer to their customers than ever. OXIO is headquartered in New York, with offices in Mexico City and Montreal, Canada. For more information, visit oxio.com."
Entera,2018.0,,real estate,Series A,http://www.entera.ai,,"Entera is the leading 3-sided marketplace focused on connecting Enterprise and Mid-Market investors, sellers and services providers in the single-family residential market. Powered by modern data science and Artificial Intelligence (AI), Entera's marketplace offers the most seamless solution for investors to access, evaluate, transact and operate their single-family real estate investments. Backed by leading venture capital investors Goldman Sachs Growth, Bullpen Capital, and Craft Ventures, Entera is focused on delivering software innovation and offline service solutions that enable its' investor clients to scale their operations quickly, make more market data-driven decisions confidently, and maximize financial returns. Since its inception in 2018, Entera has transacted on more than 15,000 single family homes valued at $5 Billion across 29 US markets. The company is headquartered in New York City, New York and Houston, Texas. Learn more at www.entera.ai."
